Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
mar/17;ANAC;122002 / 00001;18.305.695,00
mar/17;SENAR;37.138.245/0001-90;48.325.796,00
mar/17;SEST;73.471.989/0001-95;35.984.706,00
mar/17;SENAT;73.471.963/0001-47;22.577.514,00
mar/17;SESCOOP;03.087.543/0001-86;26.526.808,00
mar/17;SDR;420013 / 00001;19.238.563,00
mar/17;APEX-BR;05.507.500/0001-38;36.298.898,00
mar/17;ABDI;07.200.966/0001-11;5.926.422,00
abr/17;FNDE;153173 / 15253;1.560.713.935,00
abr/17;INCRA;373001 / 37201;110.767.847,00
abr/17;SENAI;33.564.543/0001-90;113.425.258,00
abr/17;SESI;33.641.358/0001-52;161.952.385,00
abr/17;SENAC;33.469.172/0001-68;210.355.750,00
abr/17;SESC;33.469.164/0001-11;379.964.945,00
abr/17;SEBRAE;00.330.854/0001-45;250.714.994,00
abr/17;EMBRATUR;35.842.428/0001-66;0
abr/17;DPC;852001 / 00001;12.709.295,00
abr/17;ANAC;122002 / 00001;17.685.865,00
abr/17;SENAR;37.138.245/0001-90;64.552.019,00
abr/17;SEST;73.471.989/0001-95;37.524.795,00
abr/17;SENAT;73.471.963/0001-47;23.668.078,00
abr/17;SESCOOP;03.087.543/0001-86;26.601.654,00
abr/17;SDR;420013 / 00001;19.534.962,00
abr/17;APEX-BR;05.507.500/0001-38;36.542.570,00
abr/17;ABDI;07.200.966/0001-11;5.966.232,00
mai/17;FNDE;153173 / 15253;1.535.979.498,00
mai/17;INCRA;373001 / 37201;109.261.366,00
mai/17;SENAI;33.564.543/0001-90;112.748.383,00
mai/17;SESI;33.641.358/0001-52;160.104.982,00
mai/17;SENAC;33.469.172/0001-68;206.526.797,00
mai/17;SESC;33.469.164/0001-11;372.910.277,00
mai/17;SEBRAE;00.330.854/0001-45;248.935.171,00
mai/17;EMBRATUR;35.842.428/0001-66;0
mai/17;DPC;852001 / 00001;12.216.827,00
mai/17;ANAC;122002 / 00001;17.277.805,00
mai/17;SENAR;37.138.245/0001-90;83.955.034,00
mai/17;SEST;73.471.989/0001-95;38.292.139,00
mai/17;SENAT;73.471.963/0001-47;24.113.506,00
mai/17;SESCOOP;03.087.543/0001-86;26.730.534,00
mai/17;SDR;420013 / 00001;19.268.703,00
mai/17;APEX-BR;05.507.500/0001-38;36.282.503,00
mai/17;ABDI;07.200.966/0001-11;5.923.773,00
